year,url,file,local_file_date
1976,https://comtrade.un.org/api/get/bulk/C/A/1976/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-1976_freq-A_px-S2_pub-20041207_fmt-csv_ex-20190513.zip,2004-12-07
1977,https://comtrade.un.org/api/get/bulk/C/A/1977/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-1977_freq-A_px-S2_pub-20041207_fmt-csv_ex-20190512.zip,2004-12-07
1978,https://comtrade.un.org/api/get/bulk/C/A/1978/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-1978_freq-A_px-S2_pub-20050214_fmt-csv_ex-20190511.zip,2005-02-14
1979,https://comtrade.un.org/api/get/bulk/C/A/1979/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-1979_freq-A_px-S2_pub-20051212_fmt-csv_ex-20190512.zip,2005-12-12
1980,https://comtrade.un.org/api/get/bulk/C/A/1980/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-1980_freq-A_px-S2_pub-20051212_fmt-csv_ex-20190511.zip,2005-12-12
1981,https://comtrade.un.org/api/get/bulk/C/A/1981/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-1981_freq-A_px-S2_pub-20051212_fmt-csv_ex-20190513.zip,2005-12-12
1982,https://comtrade.un.org/api/get/bulk/C/A/1982/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-1982_freq-A_px-S2_pub-20091029_fmt-csv_ex-20190512.zip,2009-10-29
1983,https://comtrade.un.org/api/get/bulk/C/A/1983/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-1983_freq-A_px-S2_pub-20091029_fmt-csv_ex-20190513.zip,2009-10-29
1984,https://comtrade.un.org/api/get/bulk/C/A/1984/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-1984_freq-A_px-S2_pub-20091029_fmt-csv_ex-20190512.zip,2009-10-29
1985,https://comtrade.un.org/api/get/bulk/C/A/1985/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-1985_freq-A_px-S2_pub-20091029_fmt-csv_ex-20190512.zip,2009-10-29
1986,https://comtrade.un.org/api/get/bulk/C/A/1986/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-1986_freq-A_px-S2_pub-20091029_fmt-csv_ex-20190512.zip,2009-10-29
1987,https://comtrade.un.org/api/get/bulk/C/A/1987/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-1987_freq-A_px-S2_pub-20051214_fmt-csv_ex-20190512.zip,2005-12-14
1988,https://comtrade.un.org/api/get/bulk/C/A/1988/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-1988_freq-A_px-S2_pub-20051214_fmt-csv_ex-20190513.zip,2005-12-14
1989,https://comtrade.un.org/api/get/bulk/C/A/1989/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-1989_freq-A_px-S2_pub-20051219_fmt-csv_ex-20190512.zip,2005-12-19
1990,https://comtrade.un.org/api/get/bulk/C/A/1990/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-1990_freq-A_px-S2_pub-20051222_fmt-csv_ex-20190511.zip,2005-12-22
1991,https://comtrade.un.org/api/get/bulk/C/A/1991/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-1991_freq-A_px-S2_pub-20051228_fmt-csv_ex-20190512.zip,2005-12-28
1992,https://comtrade.un.org/api/get/bulk/C/A/1992/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-1992_freq-A_px-S2_pub-20070523_fmt-csv_ex-20190511.zip,2007-05-23
1993,https://comtrade.un.org/api/get/bulk/C/A/1993/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-1993_freq-A_px-S2_pub-20060110_fmt-csv_ex-20190512.zip,2006-01-10
1994,https://comtrade.un.org/api/get/bulk/C/A/1994/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-1994_freq-A_px-S2_pub-20060110_fmt-csv_ex-20190512.zip,2006-01-10
1995,https://comtrade.un.org/api/get/bulk/C/A/1995/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-1995_freq-A_px-S2_pub-20060110_fmt-csv_ex-20190513.zip,2006-01-10
1996,https://comtrade.un.org/api/get/bulk/C/A/1996/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-1996_freq-A_px-S2_pub-20060110_fmt-csv_ex-20190512.zip,2006-01-10
1997,https://comtrade.un.org/api/get/bulk/C/A/1997/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-1997_freq-A_px-S2_pub-20060110_fmt-csv_ex-20190511.zip,2006-01-10
1998,https://comtrade.un.org/api/get/bulk/C/A/1998/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-1998_freq-A_px-S2_pub-20060110_fmt-csv_ex-20190512.zip,2006-01-10
1999,https://comtrade.un.org/api/get/bulk/C/A/1999/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-1999_freq-A_px-S2_pub-20051228_fmt-csv_ex-20190512.zip,2005-12-28
2000,https://comtrade.un.org/api/get/bulk/C/A/2000/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2000_freq-A_px-S2_pub-20221226_fmt-csv_ex-20221229.zip,2022-12-26
2001,https://comtrade.un.org/api/get/bulk/C/A/2001/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2001_freq-A_px-S2_pub-20230221_fmt-csv_ex-20230224.zip,2022-12-26
2002,https://comtrade.un.org/api/get/bulk/C/A/2002/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2002_freq-A_px-S2_pub-20221226_fmt-csv_ex-20221229.zip,2022-12-26
2003,https://comtrade.un.org/api/get/bulk/C/A/2003/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2003_freq-A_px-S2_pub-20221226_fmt-csv_ex-20221229.zip,2022-12-26
2004,https://comtrade.un.org/api/get/bulk/C/A/2004/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2004_freq-A_px-S2_pub-20230221_fmt-csv_ex-20230223.zip,2022-12-26
2005,https://comtrade.un.org/api/get/bulk/C/A/2005/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2005_freq-A_px-S2_pub-20230221_fmt-csv_ex-20230224.zip,2022-12-21
2006,https://comtrade.un.org/api/get/bulk/C/A/2006/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2006_freq-A_px-S2_pub-20230221_fmt-csv_ex-20230224.zip,2022-12-26
2007,https://comtrade.un.org/api/get/bulk/C/A/2007/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2007_freq-A_px-S2_pub-20230217_fmt-csv_ex-20230224.zip,2022-12-26
2008,https://comtrade.un.org/api/get/bulk/C/A/2008/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2008_freq-A_px-S2_pub-20230222_fmt-csv_ex-20230224.zip,2022-12-26
2009,https://comtrade.un.org/api/get/bulk/C/A/2009/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2009_freq-A_px-S2_pub-20230218_fmt-csv_ex-20230224.zip,2022-12-21
2010,https://comtrade.un.org/api/get/bulk/C/A/2010/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2010_freq-A_px-S2_pub-20230221_fmt-csv_ex-20230224.zip,2022-12-15
2011,https://comtrade.un.org/api/get/bulk/C/A/2011/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2011_freq-A_px-S2_pub-20230222_fmt-csv_ex-20230224.zip,2022-12-15
2012,https://comtrade.un.org/api/get/bulk/C/A/2012/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2012_freq-A_px-S2_pub-20230223_fmt-csv_ex-20230224.zip,2022-12-15
2013,https://comtrade.un.org/api/get/bulk/C/A/2013/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2013_freq-A_px-S2_pub-20230210_fmt-csv_ex-20230224.zip,2022-12-19
2014,https://comtrade.un.org/api/get/bulk/C/A/2014/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2014_freq-A_px-S2_pub-20221215_fmt-csv_ex-20221229.zip,2022-12-15
2015,https://comtrade.un.org/api/get/bulk/C/A/2015/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2015_freq-A_px-S2_pub-20230210_fmt-csv_ex-20230224.zip,2022-12-21
2016,https://comtrade.un.org/api/get/bulk/C/A/2016/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2016_freq-A_px-S2_pub-20230210_fmt-csv_ex-20230223.zip,2022-12-15
2017,https://comtrade.un.org/api/get/bulk/C/A/2017/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2017_freq-A_px-S2_pub-20230210_fmt-csv_ex-20230224.zip,2022-12-15
2018,https://comtrade.un.org/api/get/bulk/C/A/2018/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2018_freq-A_px-S2_pub-20230222_fmt-csv_ex-20230224.zip,2022-12-15
2019,https://comtrade.un.org/api/get/bulk/C/A/2019/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2019_freq-A_px-S2_pub-20221222_fmt-csv_ex-20221229.zip,2022-12-22
2020,https://comtrade.un.org/api/get/bulk/C/A/2020/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2020_freq-A_px-S2_pub-20230222_fmt-csv_ex-20230224.zip,2022-12-15
