year,url,file,local_file_date
2010,https://comtrade.un.org/api/get/bulk/C/A/2010/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2010_freq-A_px-H0_pub-20210520_fmt-csv_ex-20210528.zip,2020-10-28
2011,https://comtrade.un.org/api/get/bulk/C/A/2011/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2011_freq-A_px-H0_pub-20210423_fmt-csv_ex-20210505.zip,2021-02-05
2012,https://comtrade.un.org/api/get/bulk/C/A/2012/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2012_freq-A_px-H0_pub-20210520_fmt-csv_ex-20210528.zip,2021-02-05
2013,https://comtrade.un.org/api/get/bulk/C/A/2013/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2013_freq-A_px-H0_pub-20210519_fmt-csv_ex-20210527.zip,2021-02-05
2014,https://comtrade.un.org/api/get/bulk/C/A/2014/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2014_freq-A_px-H0_pub-20210429_fmt-csv_ex-20210527.zip,2021-01-19
2015,https://comtrade.un.org/api/get/bulk/C/A/2015/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2015_freq-A_px-H0_pub-20210520_fmt-csv_ex-20210528.zip,2021-03-06
2016,https://comtrade.un.org/api/get/bulk/C/A/2016/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2016_freq-A_px-H0_pub-20210519_fmt-csv_ex-20210527.zip,2021-03-28
2017,https://comtrade.un.org/api/get/bulk/C/A/2017/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2017_freq-A_px-H0_pub-20210501_fmt-csv_ex-20210528.zip,2021-03-28
2018,https://comtrade.un.org/api/get/bulk/C/A/2018/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2018_freq-A_px-H0_pub-20210521_fmt-csv_ex-20210528.zip,2021-03-20
2019,https://comtrade.un.org/api/get/bulk/C/A/2019/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2019_freq-A_px-H0_pub-20210519_fmt-csv_ex-20210528.zip,2021-03-12
2020,https://comtrade.un.org/api/get/bulk/C/A/2020/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2020_freq-A_px-H0_pub-20210526_fmt-csv_ex-20210528.zip,2021-03-27
