year,url,file,local_file_date
2001,https://comtrade.un.org/api/get/bulk/C/A/2001/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2001_freq-A_px-H0_pub-20230221_fmt-csv_ex-20230224.zip,2022-12-26
2002,https://comtrade.un.org/api/get/bulk/C/A/2002/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2002_freq-A_px-H0_pub-20230221_fmt-csv_ex-20230223.zip,2022-12-26
2004,https://comtrade.un.org/api/get/bulk/C/A/2004/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2004_freq-A_px-H0_pub-20230221_fmt-csv_ex-20230224.zip,2022-12-26
2005,https://comtrade.un.org/api/get/bulk/C/A/2005/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2005_freq-A_px-H0_pub-20230104_fmt-csv_ex-20230127.zip,2022-12-21
2006,https://comtrade.un.org/api/get/bulk/C/A/2006/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2006_freq-A_px-H0_pub-20230221_fmt-csv_ex-20230224.zip,2022-12-26
2007,https://comtrade.un.org/api/get/bulk/C/A/2007/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2007_freq-A_px-H0_pub-20230217_fmt-csv_ex-20230224.zip,2022-12-26
2008,https://comtrade.un.org/api/get/bulk/C/A/2008/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2008_freq-A_px-H0_pub-20230222_fmt-csv_ex-20230224.zip,2022-12-26
2009,https://comtrade.un.org/api/get/bulk/C/A/2009/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2009_freq-A_px-H0_pub-20230218_fmt-csv_ex-20230224.zip,2022-12-21
2010,https://comtrade.un.org/api/get/bulk/C/A/2010/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2010_freq-A_px-H0_pub-20230221_fmt-csv_ex-20230224.zip,2022-12-15
2011,https://comtrade.un.org/api/get/bulk/C/A/2011/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2011_freq-A_px-H0_pub-20230222_fmt-csv_ex-20230224.zip,2022-12-15
2012,https://comtrade.un.org/api/get/bulk/C/A/2012/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2012_freq-A_px-H0_pub-20230223_fmt-csv_ex-20230224.zip,2022-12-15
2013,https://comtrade.un.org/api/get/bulk/C/A/2013/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2013_freq-A_px-H0_pub-20230210_fmt-csv_ex-20230224.zip,2022-12-19
2014,https://comtrade.un.org/api/get/bulk/C/A/2014/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2014_freq-A_px-H0_pub-20230210_fmt-csv_ex-20230224.zip,2022-12-15
2015,https://comtrade.un.org/api/get/bulk/C/A/2015/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2015_freq-A_px-H0_pub-20230210_fmt-csv_ex-20230224.zip,2022-12-21
2016,https://comtrade.un.org/api/get/bulk/C/A/2016/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2016_freq-A_px-H0_pub-20230210_fmt-csv_ex-20230223.zip,2022-12-15
2018,https://comtrade.un.org/api/get/bulk/C/A/2018/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2018_freq-A_px-H0_pub-20230222_fmt-csv_ex-20230224.zip,2022-12-15
2019,https://comtrade.un.org/api/get/bulk/C/A/2019/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2019_freq-A_px-H0_pub-20230210_fmt-csv_ex-20230224.zip,2022-12-22
2020,https://comtrade.un.org/api/get/bulk/C/A/2020/ALL/H0?token=REPLACE_TOKEN,hs-rev1992/zip/type-C_r-ALL_ps-2020_freq-A_px-H0_pub-20230222_fmt-csv_ex-20230224.zip,2022-12-15
